Mały Książe;Antoine de Saint-Exupéry;9783140464079;Wilga;2018-02-28;Literatura dziecięca;true
Metro 2033;Dmitrij Gluchowski;9789491425004;Insignis;2015-11-04;Fantastyka postapokaliptyczna;true
Metro 2034;Dmitrij Gluchowski;9782841725434;Insignis;2015-11-04;Fantastyka postapokaliptyczna;true
Metro 2035;Dmitrij Gluchowski;9783453315556;Insignis;2015-11-04;Fantastyka postapokaliptyczna;true
Harry Potter i Kamień Filozoficzny;J.K. Rowling;9788373195970;Media Rodzina;2000-11-01;Fantasy;true
Władca Pierścieni: Drużyna Pierścienia;J.R.R. Tolkien;9788324124211;Zysk i S-ka;1993-06-24;Fantasy;true
Zabójstwo w Orient Expressie;Agatha Christie;9788374953440;Wydawnictwo Dolnośląskie;2018-11-26;Kryminał;true
Cztery pory roku;Stephen King;9788378392414;Albatros;2013-09-18;Horror;true
Mistrz i Małgorzata;Michaił Bułhakow;9788378390687;Albatros;2017-03-15;Klasyczna literatura;true
Duma i uprzedzenie;Jane Austen;9788381286224;Poznańskie;2014-03-21;Romans;true
Proces;Franz Kafka;9788389524113;Wydawnictwo MG;2019-06-03;Proza;true
Zamek;Franz Kafka;9788389524120;Wydawnictwo MG;2019-06-03;Proza;true
Ameryka;Franz Kafka;9788389524137;Wydawnictwo MG;2019-06-03;Proza;true
Opowieści niesamowite i inne prozy;Franz Kafka;9788373273475;Wydawnictwo Literackie;2018-11-23;Proza;true
Morderstwo w Orient Expressie;Agatha Christie;9788378391771;Znak;2017-11-07;Kryminał;true
Dziesięciu Murzynków;Agatha Christie;9788378391764;Znak;2017-11-07;Kryminał;true
Tajemniczy przeciwnik;Agatha Christie;9788378391788;Znak;2017-11-07;Kryminał;true
Trzynastu;Agatha Christie;9788378391795;Znak;2017-11-07;Kryminał;true
Panna Marple i tajemnica w Styles;Agatha Christie;9788378391801;Znak;2017-11-07;Kryminał;true
Morderstwo na polu golfowym;Agatha Christie;9788378391818;Znak;2017-11-07;Kryminał;true
Panna Marple i cudowny chleb;Agatha Christie;9788378391825;Znak;2017-11-07;Kryminał;true
Panna Marple i tajemnica w Sittaford;Agatha Christie;9788378391832;Znak;2017-11-07;Kryminał;true
Panna Marple i cudowny chleb;Agatha Christie;9788378391825;Znak;2017-11-07;Kryminał;true
Panna Marple i tajemnica w Sittaford;Agatha Christie;9788378391832;Znak;2017-11-07;Kryminał;true
To;Stephen King;9788378391771;Znak;2017-11-07;Horror;true
Lśnienie;Stephen King;9788378391764;Znak;2017-11-07;Horror;true
Miasteczko Salem;Stephen King;9788378391788;Znak;2017-11-07;Horror;true
Charlie i fabryka czekolady;Roald Dahl;9788375540290;Albatros;1964-10-01;dla dzieci;true
Matylda;Roald Dahl;9788375540291;Albatros;1988-10-01;dla dzieci;true
Wiedźmy;Roald Dahl;9788375540292;Albatros;1983-10-01;dla dzieci;true
BFG - Bardzo Fajny Gigant;Roald Dahl;9788375540293;Albatros;1982-10-01;dla dzieci;true
Fantastyczny Pan Lis;Roald Dahl;9788375540294;Albatros;1970-10-01;dla dzieci;true
James i wielkie brzuchy;Roald Dahl;9788375540295;Albatros;1964-10-01;dla dzieci;true
Czarnoksiężnik z Krainy Oz;Roald Dahl;9788375540296;Albatros;1985-10-01;dla dzieci;true
The Twits;Roald Dahl;9788375540297;Albatros;1980-10-01;dla dzieci;true
The Witches;Roald Dahl;9788375540298;Albatros;1983-10-01;dla dzieci;true
Danny, the Champion of the World;Roald Dahl;9788375540299;Albatros;1975-10-01;dla dzieci;true
Kod Leonarda da Vinci;Dan Brown;9788375540270;Albatros;2004-05-19;thriller;true
Anioły i demony;Dan Brown;9788375540271;Albatros;2000-03-28;thriller;true
Zaginiony symbol;Dan Brown;9788375540272;Albatros;2009-09-15;thriller;true
Inferno;Dan Brown;9788375540273;Albatros;2013-05-14;thriller;true
Początek;Dan Brown;9788375540274;Albatros;2017-10-03;thriller;true
Cyfrowa twierdza;Dan Brown;9788375540275;Albatros;1998-05-16;thriller;true
Upadek gigantów;Dan Brown;9788375540276;Albatros;2022-06-07;historyczny;true
Forteca;Dan Brown;9788375540277;Albatros;1998-06-15;thriller;true
Zabójcza próba;Dan Brown;9788375540278;Albatros;2009-09-15;thriller;true
Punkt zwrotny;Dan Brown;9788375540279;Albatros;2021-09-28;thriller;true
Skazani na Shawshank;Stephen King;9788378391795;Znak;2017-11-07;Dramat;true
Zielona mila;Stephen King;9788378391801;Znak;2017-11-07;Horror;true
Pamiętnik;Nicholas Sparks;9788378391764;Znak;2017-11-07;Romans;true
Dla Ciebie wszystko;Nicholas Sparks;9788378391771;Znak;2017-11-07;Romans;true
Ostatnia piosenka;Nicholas Sparks;9788378391788;Znak;2017-11-07;Romans;true
Droga do zatracenia;Nicholas Sparks;9788378391795;Znak;2017-11-07;Romans;true
Bezpieczna przystań;Nicholas Sparks;9788378391801;Znak;2017-11-07;Romans;true
Dwie na jednego;Nora Roberts;9788375540230;Albatros;2019-01-15;romans;true
Witaj w miłości;Nora Roberts;9788375540231;Albatros;2020-05-20;romans;true
Klucz do serca;Nora Roberts;9788375540232;Albatros;2017-09-10;romans;true
Róża wiatrów;Nora Roberts;9788375540233;Albatros;2018-06-05;romans;true
Pod słońcem Toskanii;Nora Roberts;9788375540234;Albatros;2016-03-12;romans;true
Dziewczyna z nadziei;Nora Roberts;9788375540235;Albatros;2022-11-30;romans;true
Magia nocy;Nora Roberts;9788375540236;Albatros;2015-08-25;fantasy;true
Prawo namiętności;Nora Roberts;9788375540237;Albatros;2014-12-01;romans;true
Obietnica zbrodni;Nora Roberts;9788375540238;Albatros;2021-07-18;kryminał;true
Płomienie miłości;Danielle Steel;9788375540240;Albatros;2019-01-15;romans;true
Tajemnica miłości;Danielle Steel;9788375540241;Albatros;2020-05-20;romans;true
Za zamkniętymi drzwiami;Danielle Steel;9788375540242;Albatros;2017-09-10;romans;true
Złoty pocałunek;Danielle Steel;9788375540243;Albatros;2018-06-05;romans;true
Zaklęte serce;Danielle Steel;9788375540244;Albatros;2016-03-12;romans;true
Gwiazdy nad Nowym Jorkiem;Danielle Steel;9788375540245;Albatros;2022-11-30;romans;true
Miłość i wojna;Danielle Steel;9788375540246;Albatros;2015-08-25;historyczny;true
Serce na sprzedaż;Danielle Steel;9788375540247;Albatros;2014-12-01;romans;true
Rozbita rodzina;Danielle Steel;9788375540248;Albatros;2021-07-18;saga rodzinna;true
Siła uczuć;Danielle Steel;9788375540249;Albatros;2013-04-05;romans;true
